74,<COLOR FF0000>#Rejected#</COLOR> I_0074_Name,<COLOR FF0000>#Rejected#</COLOR> I_0074_Explain
75,<COLOR FF0000>#Rejected#</COLOR> I_0075_Name,<COLOR FF0000>#Rejected#</COLOR> I_0075_Explain
76,<COLOR FF0000>#Rejected#</COLOR> I_0076_Name,<COLOR FF0000>#Rejected#</COLOR> I_0076_Explain
77,<COLOR FF0000>#Rejected#</COLOR> I_0077_Name,<COLOR FF0000>#Rejected#</COLOR> I_0077_Explain
78,<COLOR FF0000>#Rejected#</COLOR> I_0078_Name,<COLOR FF0000>#Rejected#</COLOR> I_0078_Explain
79,<COLOR FF0000>#Rejected#</COLOR> I_0079_Name,<COLOR FF0000>#Rejected#</COLOR> I_0079_Explain
80,<COLOR FF0000>#Rejected#</COLOR> I_0080_Name,<COLOR FF0000>#Rejected#</COLOR> I_0080_Explain
81,<COLOR FF0000>#Rejected#</COLOR> I_0081_Name,<COLOR FF0000>#Rejected#</COLOR> I_0081_Explain
82,<COLOR FF0000>#Rejected#</COLOR> I_0082_Name,<COLOR FF0000>#Rejected#</COLOR> I_0082_Explain
83,<COLOR FF0000>#Rejected#</COLOR> I_0083_Name,<COLOR FF0000>#Rejected#</COLOR> I_0083_Explain
84,<COLOR FF0000>#Rejected#</COLOR> I_0084_Name,<COLOR FF0000>#Rejected#</COLOR> I_0084_Explain
85,<COLOR FF0000>#Rejected#</COLOR> I_0085_Name,<COLOR FF0000>#Rejected#</COLOR> I_0085_Explain
86,<COLOR FF0000>#Rejected#</COLOR> I_0086_Name,<COLOR FF0000>#Rejected#</COLOR> I_0086_Explain
87,<COLOR FF0000>#Rejected#</COLOR> I_0087_Name,<COLOR FF0000>#Rejected#</COLOR> I_0087_Explain
88,<COLOR FF0000>#Rejected#</COLOR> I_0088_Name,<COLOR FF0000>#Rejected#</COLOR> I_0088_Explain
89,<COLOR FF0000>#Rejected#</COLOR> I_0089_Name,<COLOR FF0000>#Rejected#</COLOR> I_0089_Explain
90,<COLOR FF0000>#Rejected#</COLOR> I_0090_Name,<COLOR FF0000>#Rejected#</COLOR> I_0090_Explain
91,Lottery Ticket,This ticket can be redeemedfor a free turn at the lotteryduring Kagero's sales.
92,Rathian Scale,Scales of a Rathian. Theirdark emerald hue exudesa feminine grace.
93,Rathian Shell,"A shell piece comprised oflayered scales, making itmuch harder than just one."
94,Rathian Webbing,This heat-resistantmaterial is oftenused as armor lining.
95,Rathian Spike,Needle-like hair found ona Rathian's back and wings.They contain poison.
96,Rathian Plate,A searing tail scale. Hardto come by and as fiery asthe wyvern it came from.
97,Rathalos Scale,A Rathalos scale. Wyvernscales like this one arefundamental materials.
98,Rathalos Shell,"A shell piece comprised oflayered scales, making itmuch harder than just one."
99,Rathalos Webbing,This heat-resistantmaterial is oftenused as armor lining.
100,Rathalos Plate,A searing tail scale. Hardto come by and as fiery asthe wyvern it came from.
101,Rath Marrow,Recent advances allow thismarrow to be extracted. Itignites on air contact.
102,Flame Sac,A monster organ filled withflammable powder. Handlewith extreme care.
103,Zinogre Shell,A blue-green shell whichstores electricity and worksas a protective insulator.
104,Zinogre Shockfur,"White fur that stores andmagnifies electricity, whichit holds even after carving."
105,Zinogre Claw,A sharp and tremendouslypowerful claw capable ofquickly dicing up prey.
106,Zinogre Shocker,The ocher shell that oncelined a Zinogre's body.Contains conductive lipids.
107,Zinogre Plate,A rare and intimidatingtrophy that seems to pulsewith residual fury.
108,Mizutsune Scale,A transparent Mizutsune scale.Its irregular shape refractslight into many bright colors.
109,Mizutsune Purplefur,"The purple fur of a Mizutsune.Stiff, but is soft as silk whensoaked with bubblefoam."
110,Mizutsune Claw,"A claw that flies freelythrough bubblefoam, allowingit to be used as a spike."
111,Bubblefoam,Fluid secreted by Mizutsune.Just a few drops can turn aswamp into a bubble bath.
112,Mizutsune Plate,An ancient scale as old asits former owner. Can evencreate rainbows from light.
113,Aknosom Scale,An Aknosom scale that glowswith a stunning ivory light.A popular material.
114,Aknosom Feather,Feathered Aknosom scaletreasured for its use inumbrellas. Sturdy yet light.
115,Aknosom Crest,An Aknosom comb. The eyeballmotif on the forehead showsup in many a ghost story.
116,Tetranadon Hide,"Made from Tetranadon belly,it's very stretchy. Now youcan eat as much as you want!"
117,Tetra Carapace,"This shell's mossy surfaceacts as a cushion, making itsturdier than it looks."
118,Tetranadon Beak,You can store up water inthis Tetranadon beak. Greatfor gear that uses water.
119,Almudron Scale,Highly water-repellentAlmudron scale. Allows forunhindered bog traversal.
120,Almudron Shell,Overlapping scales fusedwith mud and Almudron mucusto form an outer shell.
121,Almudron Claw,Almudron claws thatexcel at speedy digging.Dirt fears them.
122,Raw Meat,Meat carved from a monster.You might catch a certainFlooded Forest fish with it.
123,Pitfall Trap,A trap for catching certainlarge monsters. It istripped by a heavy weight.
124,Dango Ticket,"A ticket for dango fullof carefully selected,special ingredients."
125,Honey,Highly nutritious honey.Combine with potions to makethe more potent mega potion.
126,Blue Mushroom,A mushroom infused withpower-enhancing effects.Used in restorative items.
127,Godbug,An insect said to live a millennium.Combine it with other items to addtheir properties to the powder.
128,Herb,A primary ingredientin potions.
129,Nulberry,Mysterious berry that curesblights and resistance down.
130,Latchberry,A nut that bears a spiralgroove. Used to makePierce Ammo.
131,Iron Ore,Ore that can be smeltedinto metal and used formany different purposes.
132,Earth Crystal,Crystallized microbes whichare prized as an abrasivewhen forging weapons.
133,Machalite Ore,An ore that yields bettermetals than iron ore.Used to make machalite.
134,Dragonite Ore,An ore that yields metalsuperior to that ofmachalite—rare and valuable.
135,Unique Mushroom,A pinky-sized shroom valuedfor its unusual aroma.<COL YEL>(Account Item)</COL>
136,Choice Mushroom,The perfect shape and aroma.Even better than a uniquemushroom. <COL YEL>(Account Item)</COL>
137,Energy Drink,"A Guild-approved beveragethat boosts your stamina.Helps shake off sleep, too!"
138,Shrapnel Ammo 1,Ammo that covers a widearea. Who needs accuracywhen you hit this much?
139,Shrapnel Ammo 2,Ammo that covers a wide area.More range and even more hitsthan Shrapnel Ammo 1.
140,Shrapnel Ammo 3,Max-grade shrapnel ammo thatdelivers maximum range andhit-count over a wide area.
141,Anjanath Pelt,This Anjanath fur is usedby local firefighters for itsfire-resistant properties.
142,Anjanath Scale,"Tempered by the heat of anAnjanath, this scale repelsany ordinary blade."
143,Anjanath Fang,Fang shaped by the extremepressure and heat of anAnjanath's mouth.
144,Anjanath Nosebone,Nasal bone of an Anjanath.Its characteristic structureis a hot research topic.
145,Anjanath Tail,"This Anjanath tail can beused in weapons, but it'salso a local delicacy."
146,Anjanath Plate,"Rare, roiled Anjanathplating, produced by thebeast's persistent rage."
147,<COLOR FF0000>#Rejected#</COLOR> I_0147_Name,<COLOR FF0000>#Rejected#</COLOR> I_0147_Explain
148,<COLOR FF0000>#Rejected#</COLOR> I_0148_Name,<COLOR FF0000>#Rejected#</COLOR> I_0148_Explain
149,Armor Sphere,Reacts uniquely to heat.Fuse this to armor toimprove it by a tiny amount.
150,Armor Sphere+,Reacts uniquely to heat.Fuse this to armor toimprove it by a small amount.
151,Advanced Armor Sphere,Reacts uniquely to heat.Fuse this to armor toimprove it.
152,Sticky Ammo 3,Powerful pierce and burstammo. Headshots stun.
153,Cluster Bomb 3,Ammo that fragments intofive shells upon impact.Beware of friendly fire!
154,Recover Ammo 2,Ammo that restores amoderate amount of healthto an ally upon impact.
155,Demon Ammo,Ammo that fills the targetwith savage amountsof strength.
156,Armor Ammo,Ammo that makes thetarget's skin as hardas stone.
157,Piercing Fire Ammo,Piercing ammo that dischargesmultiple heavy-hittingfire-element shots.
158,Piercing Water Ammo,Piercing ammo that dischargesmultiple heavy-hittingwater-element shots.
159,Piercing Ice Ammo,Piercing ammo that dischargesmultiple heavy-hittingice-element shots.
160,Piercing Thunder Ammo,Piercing ammo that dischargesmultiple heavy-hittingthunder-element shots.
161,Dragon Ammo,Ammo that packs a punchagainst monsters weak todragon element.
162,Piercing Dragon Ammo,Piercing ammo that dischargesmultiple heavy-hittingdragon-element shots.
163,Flash Bomb,Flashes brightly on impact.Toss this right under amonster's nose to blind it.
164,Old Message,An old message. Holdshistorical value and isthus sought by Kagero.
165,Aknosom Beak,Aknosom beak that appearsto be wearing lipstick. Usedin arts and crafts.
166,Tetranadon Disc,Disc-shaped bone thatprotects a Tetranadon'smoisturizing organ from foes.
167,Somnacanth Scale,Somnacanth scale thatglistens a brilliant yellowdue to its watery coating.
168,Somnacanth Shell,A spiked Somnacanth carapacebuilt for protection andcutting through water.
169,Somnacanth Talon,"A talon with a long, hookedshape that's great forweapons, but also farm work!"
170,Somnacanth Fin,A Somnacanth head-fin. Asbeautiful as the midnightsea. Careful with the barbs!
171,Somnacanth Dust,A glimmering blue powdershot from a Somnacanth'sneck. Makes you feel sleepy.
172,Magnamalo Scale,Sturdy and small Magnamaloscale that is flexible andresistant to fangs.
173,Magnamalo Shell,An armor-like carapace fromMagnamalo. Won't budge toany run-of-the-mill strikes.
174,Magnamalo Blade,Talon that has grown into ablade shape on Magnamalo'sforearm. Already very sharp.
175,Magnamalo Tail,Magnamalo's bladed tail.Used to pierce through theguts of unsuspecting prey.
176,Magnamalo Horn,Majestic Magnamalo horn thatechoes with the sorrow ofwarriors slain.
177,Magnamalo Scute,Bladed hide of Magnamalo'sback. Its edge is nickedfrom countless battles.
178,Magna Ghostprism,A gaseous crystal that emitsflammable gas resemblingdancing purple flames.
179,Magnamalo Plate,"Rare Magnamalo scale.Glows with a deep purple,all-consuming menace."
180,Golden Muck,Mud mixed with Almudronmucus. Prized for itsviscosity and sumptuous hue.
181,Almudron Fin,Red tuft of Almudron hair.Covered in a viscous fluidsecreted from its pores.
182,Almudron Tail,An impressive Almudron tail.Its willow-esque droop opensup opportunities to strike.
183,Almudron Whisker,These crimson Almudronwhiskers sense vibrationsto help locate prey.
184,Almudron Plate,"Rare Almudron scale.As you stare into its grayhue, you feel sucked in."
185,Goss Harag Fur,"This Goss hair repels snowand keeps heat in, makingit popular for winter wear."
186,Goss Harag Hide,The Goss Harag's warm bodyand the cold outside airhave tempered this hide.
187,Goss Harag Brace,Ice and snow have built upon this arm carapace untilit could work as a weapon.
188,Goss Harag Horn,"Lumpy blue horns of a GossHarag. For some reason, theytend to scare children."
189,Goss Harag Claw,"Goss Harag claws. They grownot only from its toes,but also all over its feet!"
190,Block of Ice,"The Goss Harag melts snow onits body, forming this iceclump on its legs at will."
191,Goss Harag Bile,A Goss Harag gallbladderonce prized as a panacea.Good luck getting it out...
192,<COLOR FF0000>#Rejected#</COLOR> I_0192_Name,<COLOR FF0000>#Rejected#</COLOR> I_0192_Explain
193,<COLOR FF0000>#Rejected#</COLOR> I_0193_Name,<COLOR FF0000>#Rejected#</COLOR> I_0193_Explain
194,<COLOR FF0000>#Rejected#</COLOR> I_0194_Name,<COLOR FF0000>#Rejected#</COLOR> I_0194_Explain
195,<COLOR FF0000>#Rejected#</COLOR> I_0195_Name,<COLOR FF0000>#Rejected#</COLOR> I_0195_Explain
196,<COLOR FF0000>#Rejected#</COLOR> I_0196_Name,<COLOR FF0000>#Rejected#</COLOR> I_0196_Explain
197,<COLOR FF0000>#Rejected#</COLOR> I_0197_Name,<COLOR FF0000>#Rejected#</COLOR> I_0197_Explain
198,<COLOR FF0000>#Rejected#</COLOR> I_0198_Name,<COLOR FF0000>#Rejected#</COLOR> I_0198_Explain
199,<COLOR FF0000>#Rejected#</COLOR> I_0199_Name,<COLOR FF0000>#Rejected#</COLOR> I_0199_Explain
200,<COLOR FF0000>#Rejected#</COLOR> I_0200_Name,<COLOR FF0000>#Rejected#</COLOR> I_0200_Explain
201,<COLOR FF0000>#Rejected#</COLOR> I_0201_Name,<COLOR FF0000>#Rejected#</COLOR> I_0201_Explain
202,<COLOR FF0000>#Rejected#</COLOR> I_0202_Name,<COLOR FF0000>#Rejected#</COLOR> I_0202_Explain
203,<COLOR FF0000>#Rejected#</COLOR> I_0203_Name,<COLOR FF0000>#Rejected#</COLOR> I_0203_Explain
204,<COLOR FF0000>#Rejected#</COLOR> I_0204_Name,<COLOR FF0000>#Rejected#</COLOR> I_0204_Explain
205,<COLOR FF0000>#Rejected#</COLOR> I_0205_Name,<COLOR FF0000>#Rejected#</COLOR> I_0205_Explain
206,<COLOR FF0000>#Rejected#</COLOR> I_0206_Name,<COLOR FF0000>#Rejected#</COLOR> I_0206_Explain
207,<COLOR FF0000>#Rejected#</COLOR> I_0207_Name,<COLOR FF0000>#Rejected#</COLOR> I_0207_Explain
208,<COLOR FF0000>#Rejected#</COLOR> I_0208_Name,<COLOR FF0000>#Rejected#</COLOR> I_0208_Explain
209,<COLOR FF0000>#Rejected#</COLOR> I_0209_Name,<COLOR FF0000>#Rejected#</COLOR> I_0209_Explain
210,<COLOR FF0000>#Rejected#</COLOR> I_0210_Name,<COLOR FF0000>#Rejected#</COLOR> I_0210_Explain
211,<COLOR FF0000>#Rejected#</COLOR> I_0211_Name,<COLOR FF0000>#Rejected#</COLOR> I_0211_Explain
212,<COLOR FF0000>#Rejected#</COLOR> I_0212_Name,<COLOR FF0000>#Rejected#</COLOR> I_0212_Explain
213,<COLOR FF0000>#Rejected#</COLOR> I_0213_Name,<COLOR FF0000>#Rejected#</COLOR> I_0213_Explain
214,<COLOR FF0000>#Rejected#</COLOR> I_0214_Name,<COLOR FF0000>#Rejected#</COLOR> I_0214_Explain
215,<COLOR FF0000>#Rejected#</COLOR> I_0215_Name,<COLOR FF0000>#Rejected#</COLOR> I_0215_Explain
216,<COLOR FF0000>#Rejected#</COLOR> I_0216_Name,<COLOR FF0000>#Rejected#</COLOR> I_0216_Explain
217,Arzuros Pelt,"An Arzuros pelt. The whiteportion is soft, while theblue is short and taut."
218,Arzuros Pelt+,A splendid Arzuros pelt.Sturdy enough to survive inharsh mountainous terrain.
219,Arzuros Shell,Shell from an Arzuros's heador back. Bends willinglyand is easy to forge.
220,Arzuros Carapace,A quality Arzuros carapace.The thick shell can endurebites from ordinary fangs.
221,Arzuros Brace,A brace from an Arzuros'sforelegs. Its sharp points giveforged equipment a wild flavor.
222,Arzuros Brace+,A strong Arzuros brace.Its thorn-like protrusionsmake paw swipes deadly.
223,Great Baggi Hide,"Hide from a Great Baggi.Despite how tough it is,it's covered in old scars."
224,Great Baggi Hide+,Quality Great Baggi hide.You'd be hard pressed tohurt a Baggi this tough.
225,Great Baggi Claw,A robust Great Baggi claw.It's thicker than a regularold Baggi claw.
226,Great Baggi Claw+,"A quality Great Baggi Claw.Sharpened by battle, it'sperfect for weapons."
227,Lagombi Pelt,A white pelt carved from aLagombi. One pat and you'llbe hooked on its fluffy fur.
228,Lagombi Pelt+,Quality white Lagombi pelt.Its frosty shine makes ita sought-after luxury item.
229,Lagombi Ear,The long ear of a Lagombi.A lifetime in the cold hasmade it hard as a shell.
230,Lagombi Ear+,"An impressive Lagombi ear.Highly developed, it can besharp as steel if polished."
231,Lagombi Plastron,Shell piece from a Lagombi'sbelly. Its ridges allow theLagombi to slide on ice.
232,Lagombi Plastron+,"A strong, sticky, and thickLagombi Plastron. Usedto make superior equipment."
233,Lagombi Iceclaw,A Lagombi claw that's coldto the touch. Permanentlycovered in ice.
234,Lagombi Frozenclaw,A Lagombi claw surrounded bycold air. Wounds it causesfreeze over in an instant.
235,Flabby Hide,Now useable as a materialthanks to recent advances.Has mysterious properties.
236,Pearl Hide,The hide of a Khezu.Its strange properties arestill not fully understood.
237,Pale Extract,Has the ability to amplifythe effects of certainmedicines.
238,Pale Bone,The rib bone from a Khezu.Still has chunks of meatattached.
239,Pale Steak,"Fatty meat from aKhezu. Looks tasty,but cannot be eaten."
240,Barroth Shell,"Shell from a Barroth. It'spretty muddy, but that'swhy it's so strong."
241,Barroth Carapace,"A Barroth's carapace coatedin multiple layers of mud,making it quite rigid."
242,Barroth Ridge,"Plate taken from a Barroth'sback. Fairly rare, but makesfor quality material."
243,Barroth Ridge+,"A thick, sturdy part of a Barrothbackplate. Mud and sunlighthave helped to harden it further."
244,Barroth Claw,"A Barroth claw. It's nottoo sharp, but can be usedto strengthen many things."
245,Barroth Claw+,A polished claw sharpened bysand and dirt. It can dig througheven the toughest earth.
246,Barroth Scalp,This durable part of aBarroth's skull is also thehardest to remove.
247,Barroth Tail,"Barroth tails aren't veryvaluable, but the meat ishailed as a delicacy."
248,Fertile Mud,Mud that Barroth roll aroundin. Nutrient-rich and greatfor farming.
249,Great Wroggi Hide,Hide from a Great Wroggi.The white-on-orange patternalmost looks dyed.
250,Great Wroggi Hide+,Quality Great Wroggi hide.The colors would look greaton an expert's weapon.
251,Great Wroggi Brace,"A brace from a Great Wroggi.Covered in scales, it alsoincludes claws and plate."
252,Great Wroggi Brace+,A tough Great Wroggi bracecomprised of high-qualityplate and claws.
253,King's Beak,A beak from a Great Wroggi.Careful with it—it's still poisonous!
254,Spongy Hide,Spongin from a Royal Ludroth'smane. Valued for its elasticityand high water retention.
255,Spongy Hide+,High-grade elastic hide thatboasts a remarkable abilityto retain water.
256,Royal Ludroth Scale,A small scale that enablesgraceful movement. You needseveral to forge equipment.
257,Royal Ludroth Scale+,"A large, strong scale froma Royal Ludroth. It reflectslight in every direction."
258,Royal Ludroth Claw,A claw from a Royal Ludroth.Adapted better to movementthan to attacking.
259,Royal Ludroth Claw+,"A sharp, pointed Royal Ludrothclaw. It plunges deep into theearth with each step taken."
260,Royal Ludroth Crest,These crests become rigidwhen the beast is angry;quantity indicates status.
261,Royal Ludroth Crest+,"A proud, strong crest befittinga pack leader. Its sharp hornsshine magnificently."
262,Royal Ludroth Tail,"The finned tail of a RoyalLudroth, used by fishermenfor their boats."
263,Barioth Shell,White shell from aBarioth. It's strong yetincredibly light.
264,Barioth Carapace,A Barioth carapace with animpressive shine. Stronglyresembles an ice floe.
265,Barioth Pelt,A white pelt that's soft tothe touch. Absorbs impactalmost as well as a Barioth.
266,Barioth Pelt+,A high-quality white pelt witha lovely texture. Nobles useit as a symbol of authority.
267,Barioth Claw,A deceptively sharp Bariothclaw that can carve throughthick glaciers.
268,Barioth Claw+,A claw honed in the harsh Tundraenvironment. It can take downprey with a single swipe.
269,Barioth Spike,"These come in many sizes,and assist the Barioth inclinging to walls of ice."
270,Barioth Tail,"Barioth tails are covered inhard plate, and surprisinglytough to sever."
271,Amber Fang,"A fang from a Barioth. Canbe used for weapons, butalso for decoration."
272,Amber Fang+,Amber tusks sharpened bycountless kills. Can smashthrough gigantic ice blocks.
273,Volvidon Shell,The heat-resistant shell ofa Volvidon. Unaffected evenby boiling lava.
274,Volvi Carapace,A thick Volvidon carapace.The elasticity means forgingit requires severe pressure.
275,Volvidon Claw,A claw from a Volvidon'sforeleg. Dramatically raisesthe power of a wide swing.
276,Volvidon Claw+,"A hard, sharp Volvidon claw.Constant exposure to heathas tempered it like steel."
277,Volvi Rickrack,The jagged shell of a Volvidon'sback. Its high elasticity makes itideal for crafting flexible gear.
278,Basarios Shell,Rock-hard Basariosshell. Can be usedto refine metals.
279,Basarios Carapace,A rigid Basarios shell. Theamount of ore in it makes itcloser to rock than shell.
280,Basarios Wing,The wing of a Basarios.Very hard to work asa material.
281,Basarios Tears,Faintly pink gems foundnear the tear ductsof a Basarios.
282,Nargacuga Scale,A scale from a Nargacuga.The surface is covered withthe beast's black fur.
283,Nargacuga Scale+,"A black Nargacuga scale.Despite its hardness, it'ssurprisingly light and smooth."
284,Nargacuga Blackfur,Black fur that grows onscales. Covers the animalin jet-black darkness.
285,Nargacuga Pelt+,Pitch-black fur from aNargacuga. It absorbs lightand emits pure darkness.
286,Nargacuga Tail,A Nargacuga's impressive tail.Might be mistaken for a weaponif seen out of context.
287,Narga Tailspike,A spiky scale from a Nargacugatail. It stands up when thebeast is enraged.
288,Nargacuga Cutwing,Blade-like Nargacuga wing.Evolved to cut down preyon the fly.
289,Narga Razor,"The large, sharp bladewingof a Nargacuga. It can slicethrough foes in a flash."
290,Nargacuga Fang,"Although small, the jaggedplacement of these fangsaids their cutting ability."
291,Nargacuga Fang+,A Nargacuga's terribly sharpfang. Evolved to tear ratherthan chew.
292,Nargacuga Marrow,Marrow as nimble as theNargacuga itself; requirestalent to properly harvest.
293,Narga Medulla,"A Nargacuga's medulla. Merelytouching it causes extreme pain,making crafting quite difficult."
294,Rathian Scale+,"A superior Rathian scale.Looks like a normal Rathianscale, but is much harder."
295,Rathian Carapace,Rathian shell prized for itslavish green coloration. Anexcellent armor material.
296,Rathian Spike+,As sharp as the keenestblade. It is longer andsturdier than other spikes.
297,Rathian Ruby,"A rare, precious gem frominside a wyvern. Almosttoo nice to use."
298,Zinogre Carapace,The carapace of a Zinogre.Its magnificence reveals thefutility of facing it.
299,Zinogre Electrofur,Zinogre fur said to storelots of electricity. Shineswhite from the charge.
300,Zinogre Horn+,"A pointed Zinogre horn. Whencarved, it grants equipmentincomparable power."
301,Zinogre Claw+,A high voltage Zinogreclaw. Its electrifiedattacks are truly brutal.
302,Zinogre Shocker+,An electrically chargedZinogre shell. Grants athunder god's power to gear.
303,Zinogre Jasper,A rare gem sometimes producedinside a Zinogre's body. Thebeast's power swells within.
304,Mizutsune Scale+,A quality Mizutsune scale.Older scales polished overtime can be very valuable.
305,Mizutsune Purplefur+,High-quality purple fur.More foam-absorbent thanits lighter counterpart.
306,Mizutsune Claw+,Friction-reducing bubblefoamhelps this deadly claw slicethrough prey like sushi.
307,Mizutsune Fin+,A high-quality fin. Bubble-foam gives it an elegantpattern prettier than dye.
308,Bubblefoam+,The top layer of Mizutsunefluid. Removes impuritiesand is used in many rituals.
309,Mizutsune Water Orb,A multicolored orb formedfrom a crystalized Mizutsunescale and bubblefoam.
310,Rathalos Scale+,An extraordinarily durablescale carved from the bodyof a Rathalos.
